年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和7年度,11,権利関係,借地借家法（借地権）,AがBとの間で、A所有の甲土地につき建物の所有を目的として一時使用目的ではない賃貸借契約（本件契約）を締結する場合に関する次の記述のうち、借地借家法の規定及び判例によれば、正しいものはどれか。,甲土地にBが賃借権の登記をしなくても、Bの配偶者であるCを所有者として登記されている建物が甲土地上に存在する場合には、甲土地がAからDに売却されても、BはDに対して甲土地に賃借権を有していることを主張できる。,本件契約の存続期間が50年であり、契約の更新及び建物の築造による存続期間の延長がない旨を定める場合、一定期間地代を減額せず、その期間は地代の減額請求ができない旨の特約を有効に定めることができる。,本件契約が専らBの事業の用に供する建物の所有を目的とし、存続期間が50年である場合、契約の更新及び建物の築造による存続期間の延長がない旨、並びにBが借地借家法第13条の規定による建物の買取りの請求をしない旨の特約を書面で有効に定めることができる。,本件契約が公正証書によって行われていれば、専らBの居住の用に供する建物の所有を目的とし、存続期間を20年と定めていても、Aは正当事由があれば、20年が経過した時点で遅滞なく異議を述べて更新を拒絶することができる。,3
令和7年度,12,権利関係,借地借家法（借家権）,Aを賃貸人、Bを賃借人とする甲建物の賃貸借契約（定期建物賃貸借契約及び一時使用目的の建物の賃貸借契約を除く。本件契約）に関する次の記述のうち、民法及び借地借家法の規定によれば、正しいものはどれか。,本件契約が期間の定めがないものである場合において、A又はBから相手方に対して解約の申入れをしたときは、当該申入れの日から6か月を経過することによって、本件契約は終了する。,本件契約が期間を2年とするものである場合において、A及びBのいずれも期間の満了の1年前から6か月前までの間に相手方に対して更新をしない旨の通知をしなかったときは、本件契約は、期間を2年として、従前の契約と同一の条件で更新されたものとみなされる。,AB間において、造作買取請求権は行使しない旨の特約があった場合、この特約は有効である。,本件契約が借地借家法第39条に規定する取壊し予定の建物の賃貸借であり、甲建物を取り壊すこととなる時に本件契約が終了する旨の特約を定める場合、本件契約は、公正証書によってしなければならない。,3
令和7年度,13,権利関係,区分所有法,建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはどれか。,共用部分は、原則として区分所有者全員の共有に属するが、規約で別段の定めをすることを妨げず、管理者であっても、規約に特別の定めがあるときは、共用部分を所有することができる。,共用部分の持分の割合について、各共有者の共用部分の持分は、規約で別段の定めをしない限り、その有する専有部分の床面積の割合による。,集会の議事については、議長は、書面又は電磁的記録により、議事録を作成しなければならず、当該議事録には議事の経過の要領及びその結果を記載し、又は記録しなければならないとされているが、当該議事録が書面で作成されているときは、議長及び集会に出席した区分所有者全員がこれに署名しなければならない。,区分所有者が、建物の保存に有害な行為その他建物の管理又は使用に関し区分所有者の共同の利益に反する行為をした場合又はその行為をするおそれがある場合には、他の区分所有者の全員又は管理組合法人は、区分所有者の共同の利益のため、その行為を停止し、その行為の結果を除去し、又はその行為を予防するため必要な措置を執ることを請求することができる。,3
令和7年度,14,権利関係,不動産登記法,不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤っているものはどれか。,登記官は、一筆の土地の一部が別の地目となったときであっても、職権でその土地の分筆の登記をすることができない。,登記事項証明書の交付の請求は、請求情報を電子情報処理組織を使用して登記所に提供する方法によりすることができる。,権利に関する登記の申請は、法令に別段の定めがある場合を除き、登記権利者及び登記義務者が共同してしなければならない。,建物の合併の登記は、表題部所有者又は所有権の登記名義人以外の者は、申請することができない。,1
令和7年度,15,法令上の制限,都市計画法（地域地区）,都市計画法に関する次の記述のうち、誤っているものはどれか。,風致地区は、都市の風致を維持するため定める地区であり、当該地区内における建築物の建築について、政令の定める基準に従い、地方公共団体の条例で、都市の風致を維持するため必要な規制をすることができる。,特定街区は、市街地の整備改善を図るため街区の整備又は造成が行われる地区について、その街区内における建築物の容積率並びに建築物の高さの最高限度及び壁面の位置の制限を定める街区である。,近隣商業地域は、近隣の住宅地の住民に対する日用品の供給を行うことを主たる内容とする商業その他の業務の利便を増進するため定める地域である。,生産緑地地区は、農業の利便の増進を図りつつ、これと調和した低層住宅に係る良好な住居の環境を保護するため定める地区である。,4
令和7年度,16,法令上の制限,都市計画法（開発許可）,都市計画法に関する次の記述のうち、正しいものはどれか。ただし、条例による特別の定めはないものとし、「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をいうものとする。,市街化調整区域のうち開発許可を受けた開発区域以外の区域において行う、学校教育法に規定する学校の新築については、都道府県知事の許可が不要である。,開発行為とは、主として建築物の建築又は特定工作物の建設の用に供する目的で行う土地の区画形質の変更をいい、ゴルフコースの建設は開発行為にはあたらない。,"区域区分が定められていない都市計画区域において、商業施設の建築の用に供する目的で行う4,000㎡の開発行為は都道府県知事の許可が不要である。",自己の居住の用に供する住宅の建築を目的として行う開発行為以外の開発行為にあっては、原則として開発区域内に建築基準法に規定する災害危険区域内の土地を含んではならない。,4
令和7年度,17,法令上の制限,建築基準法（総則・構造）,建築基準法に関する次の記述のうち、誤っているものはどれか。,建築主は、建築確認が必要な建築物を建築しようとする場合は、当該建築物の計画を建築基準法令の規定に適合させるだけでなく、建築基準法令の規定以外の宅地造成及び特定盛土等規制法などの建築基準関係規定にも適合するものであることについて確認を受ける必要がある。,建築主は、2階建ての木造住宅を新築しようとする場合は、当該工事に着手する前に、その計画が建築基準関係規定に適合するものであることについて、確認を受け、確認済証の交付を受ける措置が必要となるが、当該住宅の大規模の修繕をしようとする場合には、当該措置は不要である。,"延べ面積が1,000㎡を超える木造建築物は、その外壁及び軒裏で延焼のおそれのある部分を防火構造としなければならない。",高さ1m以下の階段の部分には、手すりを設けなくてもよい。,2
令和7年度,18,法令上の制限,建築基準法（用途制限・容積率等）,次の記述のうち、建築基準法の規定によれば、正しいものはどれか。,都市再生特別地区内においては、建築物の容積率、建蔽率及び建築面積は当該地区に関する都市計画において定められた内容に適合するものでなければならないが、その高さは法第56条の高さの制限に関する規定に適合させる必要がある。,"2階建てかつ床面積1,000㎡の飲食店は、第一種低層住居専用地域、第二種低層住居専用地域、第一種中高層住居専用地域、工業専用地域及び田園住居地域に建築することができない。",特定行政庁による認可を受けて公告された建築協定は、その後、当該協定の土地の所有者等の全員で合意したときに限り、その公告のあった日以後において当該建築協定区域内の土地の所有者等となった者に対しても効力が及ぶこととなる。,建築物のエネルギー消費性能の向上のため必要な外壁等に関する工事を行う場合、公益性が高いことから特定行政庁の許可を受けることなく、法第52条の規定による容積率の限度を超えることができる。,2
令和7年度,19,法令上の制限,宅地造成及び特定盛土等規制法,宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはどれか。,工事主は、特定盛土等規制区域内において行われる特定盛土等又は土石の堆積に関する政令で定める規模の工事の許可の申請をするときは、あらかじめ、主務省令で定めるところにより、特定盛土等又は土石の堆積に関する工事の施行に係る土地の周辺地域の住民に対し、説明会の開催その他の当該特定盛土等又は土石の堆積に関する工事の内容を周知させるため必要な措置を講じなければならない。,宅地造成等工事規制区域内の土地の工事主又は工事施行者は、宅地造成等に伴う災害が生じないよう、その土地を常時安全な状態に維持するように努めなければならない。,都道府県知事は、宅地造成等工事規制区域内の土地について、宅地造成等に伴う災害の防止のために必要があると認める場合においては、その土地の所有者、管理者、占有者、工事主又は工事施行者に対して、擁壁等の設置等の必要な措置をとることを勧告することができる。,宅地造成等工事規制区域内において行われる宅地造成等に関する工事の許可を受けた工事主は、当該許可に係る土地の見やすい場所に、主務省令で定めるところにより、氏名又は名称その他の主務省令で定める事項を記載した標識を掲げなければならない。,2
令和7年度,20,法令上の制限,土地区画整理法,土地区画整理法に関する次の記述のうち、誤っているものはどれか。,個人施行者は、その者以外に換地計画に係る区域内の宅地を所有する者（当該宅地の所有権について施行者に対抗することができない者を除く。）がある場合においては、換地計画について認可を申請しようとするときは、これらの者の同意を得なければならない。,国又は地方公共団体の所有する土地以外であって道路の用に供している土地については、土地区画整理事業の施行により当該道路に代わるべき道路が設置され、その結果、当該道路が廃止される場合等においては、換地計画において、当該土地について換地を定めないことができる。,従前の宅地の所有者及びその宅地について使用収益権を有する者が、仮換地について使用又は収益を開始することができる日を別に定められたため、従前の宅地について使用し、又は収益することができなくなったことにより損失を受けた場合においては、施行者は、その損失を受けた者に対して、通常生ずべき損失を補償しなければならない。,仮換地の指定があった日後、土地区画整理事業の施行による施行地区内の土地及び建物の変動に係る登記がされるまでの間は、登記の申請人が確定日付のある書類によりその指定前に登記原因が生じたことを証明した場合を除き、施行地区内の土地及び建物に関しては他の登記をすることができない。,4
令和7年度,21,法令上の制限,農地法,農地に関する次の記述のうち、農地法の規定によれば、誤っているものはどれか。,市街化区域外にある農地の転用の申請に係る事業が住宅の用に供される土地の造成だけを目的としている場合、申請に係る農地の全てを住宅の用に供することが確実と認められないときには、法第4条第1項又は法第5条第1項の許可を受けることができない。,仮設工作物を設置するため、市街化区域外にある農地の所有権を取得しようとする場合には、法第5条第1項の許可を受けることができない。,農地の賃貸借は、その登記がなくても、農地の引渡しがあったときは、これをもってその後その農地について所有権を取得した第三者に対抗することができる。,法人の代表者が、その法人の業務に関し、法第4条第1項又は法第5条第1項の規定に違反して農地の転用をした場合には、その代表者が罰せられるほか、その法人も300万円以下の罰金刑が科せられる。,4
令和7年度,22,法令上の制限,国土利用計画法,国土利用計画法第23条の届出（事後届出）に関する次の記述のうち、正しいものはどれか。,"市街化区域内においてAが所有する面積3,500㎡の土地について、Bが2,000㎡、Cが1,500㎡とそれぞれ分割して購入した場合、B及びCはともに事後届出を行わなければならない。","都市計画区域外においてDが所有する面積12,000㎡の土地について、Eが担保権の実行による競売を通じて所有権を取得した場合、Eは事後届出を行わなければならない。","Fが、自ら所有する市街化調整区域内の7,000㎡の土地について、宅地建物取引業者Gと売買契約を締結した場合には、Gは契約を締結した日から1か月以内に事後届出を行う必要がある。","市街化区域内に所在する一団の土地である甲土地（面積1,200㎡）と乙土地（面積1,300㎡）について、甲土地については売買によって所有権を取得し、乙土地については対価の授受を伴わず賃借権の設定を受けたHは、事後届出を行う必要はない。",4
令和7年度,23,税・その他,登録免許税,土地の売買による所有権の移転登記等に係る登録免許税の税率の軽減措置に関する次の記述のうち、正しいものはどれか。,この税率の軽減措置は、地目が雑種地となっている土地の売買による所有権の移転登記についても適用される。,"この税率の軽減措置の適用対象となる土地は、その価額が1,000万円未満のものに限られる。",この税率の軽減措置は、法人が土地の売買による所有権の移転登記を受ける場合には適用されない。,"この税率の軽減措置の適用対象となる土地は、その面積が1,000㎡未満のものに限られる。",1
令和7年度,24,税・その他,固定資産税,固定資産税に関する次の記述のうち、正しいものはどれか。,住宅用地のうち小規模住宅用地（200㎡以下）に対して課する固定資産税の課税標準は、当該小規模住宅用地に係る固定資産税の課税標準となるべき価格の3分の1の額である。,市町村長は、納税義務者等の求めに応じ、法令で定めるところにより固定資産課税台帳を閲覧に供しなければならない。ただし、当該部分に記載されている住所が明らかにされることにより人の生命又は身体に危害を及ぼすおそれがある場合、当該住所を削除する等の措置を講じたもの又はその写しを閲覧に供することができる。,市町村は、土地、家屋又は償却資産に対して課する固定資産税額が、土地にあっては30万円、家屋にあっては20万円、償却資産にあっては150万円に満たない場合においては、原則として固定資産税を課することができない。,固定資産税は、固定資産の所有者として、登記簿又は土地補充課税台帳若しくは家屋補充課税台帳に所有者として登記又は登録されている者に対して課されるため、所有者として登記又は登録されている個人が賦課期日前に死亡している場合、固定資産課税台帳に新たな所有者が登録されていなければ何人に対しても固定資産税を課することはできない。,2
令和7年度,25,税・その他,不動産鑑定評価基準,不動産の鑑定評価に関する次の記述のうち、不動産鑑定評価基準によれば、誤っているものはどれか。,価格形成要因のうち個別的要因とは、一般経済社会における不動産のあり方及びその価格の水準に影響を与える要因をいい、自然的要因、社会的要因、経済的要因及び行政的要因に大別される。,収益還元法は、賃貸用不動産又は賃貸以外の事業の用に供する不動産の価格を求める場合に特に有効な手段であり、自用の不動産であっても賃貸を想定することにより適用される。,原価法における減価修正の方法としては、耐用年数に基づく方法と、観察減価法の2つの方法があり、これらは併用するものとする。,対象建築物に関する工事が完了していない場合でも、当該工事の完了を前提として鑑定評価を行うことがある。,1
令和7年度,26,宅建業法,宅建業法（報酬）,宅地建物取引業者A（消費税課税事業者）及び宅地建物取引業者B（消費税課税事業者）が受領した報酬に関するアからウの記述のうち、宅地建物取引業法の規定によれば、誤っているものを全て掲げたものは1から4のうちどれか。,ア、イ,イ、ウ,ア、ウ,ア、イ、ウ,4
令和7年度,27,宅建業法,宅建業法（重要事項説明）,宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明及び重要事項説明書の交付に関する次の記述のうち、正しいものはどれか。ただし、説明の相手方は宅地建物取引業者ではないものとする。,宅地建物取引業者は、区分所有建物の売買の媒介を行う場合に、当該一棟の建物及びその敷地の管理が法人に委託されているときは、その委託を受けている法人の商号又は名称及び主たる事務所の所在地を説明しなければならない。,宅地建物取引業者は、自身が売主となる場合に、重要事項説明書の交付に当たり、専任の宅地建物取引士をして当該書面に記名させなければならず、また、買主にも当該書面に記名させなければならない。,宅地建物取引業者は、重要事項を説明する際には、宅地建物取引業者の事務所において行わなければならない。,宅地建物取引業者は、自身が売主となる場合であっても、買主に対して、天災その他不可抗力による損害の負担に関する定めがあるときは、その内容を説明しなければならない。,1
令和7年度,28,宅建業法,宅建業法（業務規制・広告・媒介契約）,宅地建物取引業者の業務に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。,一つ,二つ,三つ,なし,2
令和7年度,29,宅建業法,宅建業法（37条書面）,宅地建物取引業者Aが宅地建物取引業法第37条の規定により交付すべき書面（37条書面）に関する次の記述のうち、正しいものはどれか。,Aが媒介により事業用宅地の賃貸借契約を成立させた場合、37条書面を交付しなければならないが、契約の当事者Bが宅地建物取引業者であるときは、交付する必要はない。,Aが自ら売主としてCと既存の建物の売買契約を締結した場合、建物の構造耐力上主要な部分等の状況について当事者の双方が確認した事項を37条書面に記載しなければならない。,AがDを売主としEを買主とする宅地の売買契約を媒介した場合、天災その他不可抗力による損害の負担に関する定めがないときは、定めがない旨を37条書面に記載しなければならない。,Aが自ら売主としてFと建物の売買契約を締結した場合、代金についての金銭の貸借のあっせんに関する定めがある場合における当該あっせんに係る金銭の貸借が成立しないときの措置については、37条書面に記載する必要はない。,2
令和7年度,30,宅建業法,宅建業法（重要事項説明・手付金・クーリングオフ）,"いずれも宅地建物取引業者であるA社、B社及びC社（売主ら）が、分譲マンションを共同で建築、販売することとなり、建築確認を受けた後、工事完了前にその一室を5,000万円で宅地建物取引業者ではない個人である買主に売却しようとする場合に関する次の記述のうち、宅地建物取引業法に違反するものはいくつあるか。",一つ,二つ,三つ,四つ,3
令和7年度,31,宅建業法,宅建業法（禁止行為）,次の記述のうち、宅地建物取引業法により禁止されている行為が含まれているものはいくつあるか。,一つ,二つ,三つ,四つ,4
令和7年度,32,宅建業法,宅建業法（自ら売主制限・手付金等）,"宅地建物取引業者Aが、自ら売主として、宅地建物取引業者ではないBとの間でマンション（代金4,000万円）の売買契約を締結した場合に関する次の記述のうち、宅地建物取引業法の規定に違反しないものはどれか。",Aは、建築工事完了前のマンションの売買契約を締結する際にBから手付金200万円を受領し、さらに建築工事中に200万円を中間金として受領した後、当該手付金と中間金について法第41条に定める保全措置を講じた。,Aは、建築工事完了後のマンションの売買契約を締結する際に、法第41条の2に定める保全措置を講じることなくBから手付金400万円を受領した。,Aは、建築工事完了前のマンションの売買契約を締結する際にBから手付金500万円を受領したが、Bに債務不履行がないにもかかわらず当該手付金500万円を返還して、契約を一方的に解除した。,"Aは、建築工事完了後のマンションの売買契約を締結する際に、当事者の債務の不履行を理由とする契約の解除に伴う損害賠償の予定額を1,000万円とする特約を定めた。",2
令和7年度,33,宅建業法,宅建業法（重要事項説明・37条書面）,宅地建物取引業者Aが行う業務に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはいくつあるか。,一つ,二つ,三つ,四つ,3
令和7年度,34,宅建業法,宅建業法（免許・欠格事由）,宅地建物取引業の免許に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。,一つ,二つ,三つ,四つ,3
令和7年度,35,宅建業法,宅建業法（営業保証金）,宅地建物取引業者A（甲県知事免許）の営業保証金に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、Aは宅地建物取引業保証協会の社員ではないものとする。,免許の有効期間満了の際、Aが営業保証金を取り戻そうとする場合には、供託した営業保証金につき還付を受ける権利を有する者に対し、6か月を下らない一定期間内に申し出るべき旨を官報に公告しなければならない。,Aが営業保証金を供託する場合において、金銭と有価証券を併用して供託することができるが、従たる事務所を設置したときの営業保証金については、金銭のみをもって供託しなければならない。,Aは、事業の開始後新たに乙県に従たる事務所を設置したときは、従たる事務所の最寄りの供託所に営業保証金を供託し、その供託物受入の記載のある供託書の写しを添付して、その旨を甲県知事に届け出なければならない。,Aの設置した支店においてAと宅地建物取引業に関する取引をした者は、その取引により生じた債権に関し、500万円を限度としてその債権の弁済を受ける権利を有する。,1
令和7年度,36,宅建業法,宅建業法（禁止行為・誇大広告等）,宅地建物取引業者Aの業務に関する次の記述のうち、宅地建物取引業法の規定によれば、禁止されているものはいくつあるか。,一つ,二つ,三つ,四つ,4
令和7年度,37,宅建業法,宅建業法（重要事項説明）,宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。なお、説明の相手方は宅地建物取引業者ではないものとする。,建物の貸借の媒介を行う場合、当該建物が都市計画法の準防火地域内にあり、建築基準法第61条第1項に基づく建物の構造に係る制限があるときは、その概要を説明しなければならない。,マンションの分譲を行う場合、建物の区分所有等に関する法律第2条第3項に規定する専用部分の用途その他の利用の制限に関する規約の定めが案の段階であるときは、説明する必要はない。,建物の貸借の媒介を行う場合、借賃以外に授受される金銭の額、授受の目的及び保管方法を説明しなければならない。,鉄筋コンクリート造の既存の共同住宅の販売を行う場合、宅地建物取引業法第34条の2第1項第4号に規定する建物状況調査を1年6か月前に実施したときは、建物状況調査を実施したこと、その結果の概要について説明しなくてはならない。,4
令和7年度,38,宅建業法,宅建業法（広告・取引態様）,宅地建物取引業者Aが行う業務に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはいくつあるか。,一つ,二つ,三つ,四つ,3
